Country Name,Country Code,Year,Gender Gap Labor force participation % (15+age),Gender Gap Part time employment %,Gender Gap Self-employed %,Gender Gap Unemployment %,Gender Gap Vulnerable employment %,Gender Gap Wage and salaried workers %,Total Gender Gap %
Armenia,ARM,2007,18.8360023498536,0,-15.824996948242202,-4.069000244140701,-16.369001388549798,15.824996948242202,-1.6019992828368999
Burkina Faso,BFA,2010,21.988002777099595,0,-4.298995971679702,-2.6919999122619602,-4.905998229980497,4.2990007400512695,14.390009403228706
Bahrain,BHR,2008,44.82800292968749,0,2.62800002098084,-3.399000108242038,1.14200001955033,-2.6280059814452983,42.570996880531325
"Bahamas, The",BHS,2015,12.108993530273494,0,-2.8159999847412003,-1.349999427795499,-5.637000858783701,2.815994262695412,5.1219875216485065
Colombia,COL,1981,0,0,0,0,0,0,0
Caribbean small states,CSS,1980,0,0,0,0,0,0,0
Cuba,CUB,2002,31.99199676513669,0,19.9919986724853,-2.0899996757507298,11.629999835044192,-19.991996765136705,41.53199883177875
Germany,DEU,1968,0,0,0,0,0,0,0
Germany,DEU,2011,13.071994781494197,-27.650001525878903,5.899999618530309,0.4489998817443803,1.66599977016448,-5.900001525878906,-12.463008999824442
Denmark,DNK,2002,11.843997955322301,-15.5299987792968,6.955000400543219,-0.08000040054322,2.5100001692771996,-6.955001831054702,-1.2560024857520027
"Egypt, Arab Rep.",EGY,1964,0,0,0,0,0,0,0
Estonia,EST,2002,12.891998291015597,-3.5399999618531,4.9060001373291,2.630000114440909,3.6560001969337503,-4.906005859375,15.637992918491255
France,FRA,1988,0,-17.869998931884698,0,0,0,0,-17.869998931884698
Georgia,GEO,1982,0,0,0,0,0,0,0
"Gambia, The",GMB,2015,16.868995666504006,0,-16.83799743652341,-5.8370003700256605,-17.274996757507395,16.8379993438721,-6.2429995536803595
Greece,GRC,1987,0,-10.5699996948242,0,0,0,0,-10.5699996948242
Grenada,GRD,2004,0,0,0,0,0,0,0
Honduras,HND,1983,0,0,0,0,0,0,0
Hungary,HUN,1961,0,0,0,0,0,0,0
Hungary,HUN,2017,16.303997039794893,-4.630000114440929,4.91500091552737,-0.75999999046326,1.55600021779538,-4.915000915527401,12.469997152686055
India,IND,2008,49.85799598693849,0,-4.867996215820298,-0.6760001182556197,-5.7649974822997905,4.8680009841919,43.41700315475468
Ireland,IRL,2014,15.371997833251903,-24.7200012207031,17.105998992919943,3.3919992446899894,12.6060001850128,-17.1059951782226,6.649999856948936
Italy,ITA,1971,0,0,0,0,0,0,0
Italy,ITA,2005,23.108001708984297,-23.5199995040893,10.140998840332,-3.8750000000000293,4.757999181747401,-10.140998840332003,0.47100138664236724
Japan,JPN,2017,20.049999237060504,0,2.460000038146939,0.2999999523162802,0.3059998154640198,-2.459999084472699,20.655999958515043
Lebanon,LBN,1981,0,0,0,0,0,0,0
Liechtenstein,LIE,2000,0,0,0,0,0,0,0
Lithuania,LTU,2015,10.446994781494098,-10.930000305175751,4.572999954223599,1.9399995803832812,2.6279999613762204,-4.572998046875,4.084995925426448
Latvia,LVA,1965,0,0,0,0,0,0,0
Latvia,LVA,1969,0,0,0,0,0,0,0
